v293r5_design_ship -- shipping candidates x every world x every test

======================================================================================================================================================
WORLD mode (b .0006, J 1e-4) | hold NEED x1.0
  cfg                              v | T1 dist |e| .5 1 2 s, rms  | T2 rise ov rms     | T3 pkpk | T5 rms e, pk rate, dwells, max|e| | T7 t50 t90 ov pk-rate past     | T8 mode-rms bursts max|e|hold ov rms-e damp
  R4-flown                         6 | 0.030 0.032 0.029 0.026    | 0.70 +0.11 0.370  |   1.82  | 0.070    9.9  1 0.093          | 0.48 0.58 +0.07  48.0 +0.85     |  5.22  2 0.212 -0.049 0.419 0.68
  R4-flown                         8 | 0.048 0.049 0.044 0.040    | 0.68 +0.15 0.373  |   1.38  | 0.076    5.7  1 0.098          | 0.49 0.60 +0.01  29.0 +0.09     |  3.57  2 0.249 -0.080 0.418 0.57
  R4-flown                        12 | 0.073 0.066 0.040 0.046    | 0.66 +0.14 0.360  |   0.23  | 0.065    3.5  0 0.084          | 0.50 0.59 +0.00  16.1 +0.00     |  2.39  2 0.173 -0.039 0.411 0.49
  R4-flown                        19 | 0.127 0.085 0.012 0.060    | 0.64 +0.13 0.347  |   0.35  | 0.054    3.5  0 0.105          | 0.55 0.70 +0.08   7.7 +0.12     |  2.12  0 0.066 +0.004 0.393 0.51
  R4-flown                        26 | 0.145 0.077 0.008 0.068    | 0.63 +0.06 0.341  |   0.07  | 0.056    3.6  0 0.113          | 0.56 0.72 +0.10   4.9 +0.09     |  1.88  0 0.114 +0.003 0.405 0.35
  SHIP Kp1.0 Kv1e-3 rc.03 DOB.6    6 | 0.024 0.020 0.003 0.012    | 0.72 +0.03 0.350  |   1.94  | 0.039   11.3  1 0.059          | 0.46 0.57 +0.05  47.0 +0.61     |  6.17  2 0.183 +0.041 0.499 0.59
  SHIP Kp1.0 Kv1e-3 rc.03 DOB.6    8 | 0.039 0.029 0.003 0.019    | 0.70 +0.05 0.347  |   0.68  | 0.039    7.2  1 0.067          | 0.48 0.58 +0.03  29.6 +0.17     |  4.07  2 0.133 +0.034 0.467 0.52
  SHIP Kp1.0 Kv1e-3 rc.03 DOB.6   12 | 0.058 0.034 0.005 0.027    | 0.70 +0.06 0.350  |   0.78  | 0.046    4.2  0 0.076          | 0.48 0.57 +0.05  16.6 +0.17     |  3.19  2 0.299 +0.038 0.520 0.61
  SHIP Kp1.0 Kv1e-3 rc.03 DOB.6   19 | 0.103 0.052 0.003 0.047    | 0.69 +0.07 0.346  |   0.44  | 0.048    3.6  0 0.097          | 0.53 0.66 +0.07   8.3 +0.10     |  3.03  0 0.201 +0.055 0.487 0.59
  SHIP Kp1.0 Kv1e-3 rc.03 DOB.6   26 | 0.122 0.029 0.017 0.054    | 0.71 +0.04 0.342  |   0.09  | 0.049    3.6  0 0.105          | 0.54 0.68 +0.10   5.5 +0.09     |  1.97  0 0.198 +0.049 0.469 0.60
  ALT-A rc.01                      6 | 0.023 0.019 0.003 0.012    | 0.72 +0.03 0.350  |   1.79  | 0.039   10.4  1 0.058          | 0.47 0.58 +0.05  45.2 +0.60     |  5.31  2 0.186 +0.041 0.499 0.59
  ALT-A rc.01                      8 | 0.037 0.029 0.004 0.018    | 0.70 +0.05 0.347  |   0.84  | 0.039    6.7  1 0.067          | 0.48 0.59 +0.03  28.2 +0.17     |  3.41  2 0.134 +0.034 0.467 0.57
  ALT-A rc.01                     12 | 0.055 0.033 0.003 0.026    | 0.70 +0.06 0.350  |   0.67  | 0.046    4.0  0 0.076          | 0.48 0.59 +0.06  15.7 +0.18     |  2.59  1 0.300 +0.039 0.520 0.63
  ALT-A rc.01                     19 | 0.100 0.052 0.003 0.047    | 0.69 +0.07 0.346  |   0.40  | 0.048    3.6  0 0.097          | 0.53 0.71 +0.09   8.1 +0.13     |  2.61  0 0.200 +0.052 0.491 0.59
  ALT-A rc.01                     26 | 0.128 0.030 0.019 0.054    | 0.70 +0.04 0.342  |   0.09  | 0.049    3.6  0 0.105          | 0.54 0.71 +0.12   5.3 +0.10     |  1.87  0 0.197 +0.047 0.470 0.61
  ALT-B Kp.85                      6 | 0.024 0.019 0.002 0.012    | 0.72 +0.04 0.350  |   1.84  | 0.038   11.3  1 0.059          | 0.47 0.57 +0.06  46.9 +0.71     |  6.01  2 0.182 +0.050 0.504 0.59
  ALT-B Kp.85                      8 | 0.039 0.029 0.003 0.019    | 0.70 +0.05 0.347  |   0.56  | 0.039    7.2  1 0.067          | 0.48 0.58 +0.05  29.6 +0.33     |  4.01  2 0.137 +0.041 0.474 0.51
  ALT-B Kp.85                     12 | 0.056 0.035 0.003 0.027    | 0.71 +0.06 0.351  |   0.91  | 0.046    4.2  0 0.077          | 0.48 0.58 +0.07  16.4 +0.21     |  3.23  2 0.316 +0.045 0.533 0.61
  ALT-B Kp.85                     19 | 0.107 0.055 0.003 0.049    | 0.70 +0.07 0.348  |   0.52  | 0.049    3.6  0 0.099          | 0.54 0.71 +0.06   8.0 +0.09     |  3.11  0 0.225 +0.058 0.503 0.58
  ALT-B Kp.85                     26 | 0.136 0.036 0.015 0.057    | 0.75 +0.05 0.344  |   0.13  | 0.051    3.6  0 0.107          | 0.55 0.72 +0.14   5.1 +0.12     |  2.14  0 0.218 +0.055 0.485 0.57
  ALT-C Kv6e-4                     6 | 0.027 0.020 0.002 0.013    | 0.71 +0.03 0.352  |   1.31  | 0.039   12.2  1 0.061          | 0.47 0.57 +0.08  49.5 +0.93     |  6.96  2 0.139 +0.039 0.493 0.61
  ALT-C Kv6e-4                     8 | 0.042 0.029 0.002 0.020    | 0.69 +0.08 0.349  |   0.31  | 0.039    8.0  1 0.069          | 0.49 0.58 +0.06  30.9 +0.42     |  4.19  2 0.101 +0.033 0.464 0.54
  ALT-C Kv6e-4                    12 | 0.060 0.033 0.005 0.028    | 0.69 +0.06 0.351  |   0.77  | 0.046    4.5  0 0.078          | 0.49 0.57 +0.07  17.1 +0.21     |  4.07  3 0.299 +0.047 0.522 0.66
  ALT-C Kv6e-4                    19 | 0.107 0.053 0.003 0.048    | 0.68 +0.07 0.347  |   0.26  | 0.048    3.6  0 0.098          | 0.54 0.63 +0.07   8.2 +0.10     |  3.53  0 0.190 +0.054 0.487 0.58
  ALT-C Kv6e-4                    26 | 0.118 0.027 0.013 0.054    | 0.70 +0.04 0.342  |   0.06  | 0.040    3.5  0 0.105          | 0.55 0.68 +0.11   5.4 +0.10     |  2.51  0 0.205 +0.047 0.472 0.56
  SHIP DOB.8                       6 | 0.022 0.015 0.000 0.010    | 0.73 +0.03 0.349  |   1.22  | 0.037   12.1  1 0.058          | 0.46 0.57 +0.04  47.5 +0.48     |  6.83  2 0.165 +0.043 0.496 0.51
  SHIP DOB.8                       8 | 0.036 0.022 0.000 0.017    | 0.70 +0.04 0.345  |   0.33  | 0.037    7.9  1 0.065          | 0.47 0.57 +0.04  30.4 +0.26     |  4.46  2 0.105 +0.035 0.462 0.53
  SHIP DOB.8                      12 | 0.053 0.025 0.001 0.024    | 0.74 +0.06 0.348  |   0.90  | 0.043    4.7  0 0.074          | 0.48 0.56 +0.05  17.1 +0.17     |  4.03  1 0.269 +0.043 0.517 0.62
  SHIP DOB.8                      19 | 0.094 0.022 0.015 0.040    | 1.45 +0.07 0.344  |   0.16  | 0.044    3.6  0 0.093          | 0.52 0.60 +0.07   8.9 +0.10     |  3.68  0 0.166 +0.054 0.475 0.59
  SHIP DOB.8                      26 | 0.081 0.019 0.013 0.048    | 1.21 +0.04 0.341  |   0.08  | 0.039    3.4  0 0.100          | 0.54 0.61 +0.14   6.0 +0.13     |  2.31  0 0.152 +0.046 0.457 0.56

======================================================================================================================================================
WORLD ident (b F1, J 1e-4) | hold NEED x1.0
