v293r5_loopshape -- linear margins of the fork loop on the V293 plant.  Plant e^{-s Td}/(a + b s + J s^2), J 1e-4,
Td 0.04 + 0.02 meas, a = hold slope at 0 deg.  Controller: fork P (lsf) + I via LAF 14, notch Q (0 = off), rate loop Kv tapered 12/v.
Columns: Ms | wc Hz | PM deg | |S| at 0.1 / 0.2 / 0.5 / 1 Hz | static stiffness (1+L0, Ki=0) | stiction residual F/stiff: deg, m/s^2

==================================================================================================================================
plant damping b = IDENT F1 per band (0.0018/0.0037/0.0041/0.0049)

  v    8 m/s  a 0.0052 torque/deg  b 0.0018  mode_hz(fork) 1.28  A 0.022 m/s^2 per deg  lsf 1.823
  cfg                                |    Ms    wc     PM |   S.1   S.2   S.5    S1 |  stiff |    deg   m/s2
  Kp2.5 Ki0.6 NO notch Kv1e-3        |  3.27  2.99  -20.6 |  0.35  0.35  0.34  0.29 |   2.82 |   0.38  0.040
  Kp2.0 Ki0 NO notch Kv0 (no rate loop) |  3.59  2.49  -18.9 |  0.40  0.40  0.39  0.36 |   2.49 |   0.44  0.046

  v   26 m/s  a 0.0149 torque/deg  b 0.0006  mode_hz(fork) 2.17  A 0.168 m/s^2 per deg  lsf 0.057
  cfg                                |    Ms    wc     PM |   S.1   S.2   S.5    S1 |  stiff |    deg   m/s2
  R4 flown: Kp.85 Ki.6/2.5 notch1 Kv6e-4 |  1.71  0.48  107.0 |  0.27  0.44  0.63  0.77 |   1.73 |   0.47  0.078
  Kp.85 Ki0 notch1 Kv6e-4            |  1.66   nan    nan |  0.58  0.58  0.59  0.65 |   1.73 |   0.47  0.078
  Kp.85 Ki0 NO notch Kv6e-4          | 10.28  2.46    8.3 |  0.58  0.58  0.57  0.53 |   1.73 |   0.47  0.078
  Kp1.5 Ki0 NO notch Kv6e-4          |  3.27  2.89  -20.6 |  0.44  0.44  0.43  0.40 |   2.25 |   0.36  0.060
  Kp2.0 Ki0 NO notch Kv6e-4          |  1.88  3.16  -33.8 |  0.38  0.38  0.37  0.33 |   2.65 |   0.30  0.051
  Kp2.5 Ki0 NO notch Kv6e-4          |  1.42  3.41  -43.9 |  0.33  0.33  0.32  0.28 |   3.05 |   0.26  0.044
  Kp3.0 Ki0 NO notch Kv6e-4          |  1.18  3.64  -52.2 |  0.29  0.29  0.28  0.25 |   3.45 |   0.23  0.039
  Kp2.0 Ki0 NO notch Kv1e-3          |  1.99  3.25  -32.4 |  0.38  0.38  0.36  0.33 |   2.65 |   0.30  0.051
  Kp2.5 Ki0 NO notch Kv1e-3          |  1.47  3.50  -42.7 |  0.33  0.33  0.32  0.28 |   3.05 |   0.26  0.044
  Kp3.0 Ki0 NO notch Kv1.2e-3        |  1.22  3.77  -50.8 |  0.29  0.29  0.28  0.25 |   3.45 |   0.23  0.039
  Kp2.0 Ki0 notch1 Kv6e-4            |  4.13  1.78   18.5 |  0.38  0.38  0.38  0.42 |   2.65 |   0.30  0.051
  Kp2.0 Ki0.6 NO notch Kv1e-3        |  1.95  3.25  -33.1 |  0.36  0.37  0.37  0.33 |   2.65 |   0.30  0.051
  Kp2.5 Ki0.6 NO notch Kv1e-3        |  1.45  3.50  -43.2 |  0.32  0.33  0.32  0.28 |   3.05 |   0.26  0.044
  Kp2.0 Ki0 NO notch Kv0 (no rate loop) |  1.66  3.04  -37.8 |  0.38  0.38  0.37  0.34 |   2.65 |   0.30  0.051

==================================================================================================================================
plant damping b = 0.0020

  v    8 m/s  a 0.0052 torque/deg  b 0.0020  mode_hz(fork) 1.28  A 0.022 m/s^2 per deg  lsf 1.823
  cfg                                |    Ms    wc     PM |   S.1   S.2   S.5    S1 |  stiff |    deg   m/s2
  R4 flown: Kp.85 Ki.6/2.5 notch1 Kv6e-4 |  1.28  0.13  116.2 |  0.56  0.65  0.84  0.89 |   1.82 |   1.27  0.028
  Kp.85 Ki0 notch1 Kv6e-4            |  1.28   nan    nan |  0.56  0.59  0.77  0.89 |   1.82 |   1.27  0.028
  Kp.85 Ki0 NO notch Kv6e-4          |  1.28   nan    nan |  0.56  0.57  0.66  0.80 |   1.82 |   1.27  0.028
  Kp1.5 Ki0 NO notch Kv6e-4          |  1.31  0.11  167.0 |  0.50  0.52  0.62  0.79 |   2.02 |   1.14  0.026
  Kp2.0 Ki0 NO notch Kv6e-4          |  1.34  0.33  143.4 |  0.47  0.49  0.59  0.78 |   2.18 |   1.06  0.024
  Kp2.5 Ki0 NO notch Kv6e-4          |  1.37  0.46  130.6 |  0.44  0.46  0.57  0.77 |   2.33 |   0.99  0.022
  Kp3.0 Ki0 NO notch Kv6e-4          |  1.40  0.58  120.9 |  0.41  0.43  0.54  0.76 |   2.48 |   0.93  0.021
  Kp2.0 Ki0 NO notch Kv1e-3          |  1.53  0.40  145.5 |  0.46  0.48  0.55  0.68 |   2.18 |   1.06  0.024
  Kp2.5 Ki0 NO notch Kv1e-3          |  1.56  0.56  133.0 |  0.44  0.45  0.53  0.67 |   2.33 |   0.99  0.022
