v293r5_design_dobb -- the observer's model b, every world.  R5 = Kp 1.2, notch Q1, Kv 6e-4 rc .03, DOB .8, Ki .3 flat unless named.

======================================================================================================================================================
WORLD mode (b .0006, J 1e-4) | hold NEED x1.0
  cfg                            v | T1 dist |e| .5 1 2 s, rms  | T2 rise ov rms     | T3 pkpk | T5 rms e, pk rate, dwells, max|e| | T7 t50 t90 ov pk-rate past     | T8 mode-rms bursts max|e|hold ov rms-e damp
  R5 dobb .0006 DOB.6            6 | 0.033 0.026 0.002 0.016    | 0.65 +0.41 0.363  |   2.77  | 0.024   15.0  1 0.061          | 0.46 0.55 +0.42  59.7 +4.96     |  5.57  4 0.282 +0.113 0.331 0.60
  R5 dobb .0006 DOB.6            8 | 0.051 0.036 0.003 0.025    | 0.63 +0.51 0.371  |   2.19  | 0.026    9.9  1 0.069          | 0.48 0.55 +0.42  37.1 +2.80     |  3.97  2 0.284 +0.114 0.308 0.48
  R5 dobb .0006 DOB.6           12 | 0.082 0.030 0.006 0.037    | 0.60 +0.61 0.369  |   1.25  | 0.028    5.9  1 0.077          | 0.48 0.54 +0.46  21.3 +1.43     |  2.86  3 0.390 +0.156 0.287 0.35
  R5 dobb .0006 DOB.6           19 | 0.148 0.036 0.044 0.062    | 0.58 +0.54 0.360  |   0.52  | 0.036    3.9  0 0.096          | 0.52 0.58 +0.47  10.5 +0.67     |  2.55  0 0.249 +0.100 0.288 0.17
  R5 dobb .0006 DOB.6           26 | 0.155 0.021 0.045 0.070    | 0.56 +0.43 0.345  |   0.05  | 0.032    3.6  0 0.102          | 0.53 0.58 +0.53   7.2 +0.48     |  3.13  0 0.331 +0.132 0.295 0.18
  R5 dobb .0006 DOB1.0           6 | 0.029 0.008 0.009 0.013    | 0.65 +0.40 0.361  |   2.59  | 0.023   17.0  1 0.059          | 0.46 0.54 +0.48  62.9 +5.65     |  5.99  4 0.282 +0.113 0.332 0.49
  R5 dobb .0006 DOB1.0           8 | 0.048 0.003 0.015 0.021    | 0.63 +0.51 0.369  |   1.88  | 0.024   11.6  1 0.066          | 0.47 0.54 +0.50  39.8 +3.36     |  4.67  3 0.284 +0.114 0.314 0.41
  R5 dobb .0006 DOB1.0          12 | 0.075 0.000 0.019 0.030    | 0.59 +0.62 0.370  |   1.01  | 0.026    7.1  1 0.073          | 0.47 0.53 +0.58  23.3 +1.81     |  3.62  3 0.382 +0.153 0.294 0.32
  R5 dobb .0006 DOB1.0          19 | 0.135 0.040 0.002 0.052    | 0.58 +0.56 0.361  |   0.72  | 0.029    4.7  0 0.089          | 0.51 0.56 +0.68  12.2 +0.97     |  3.36  1 0.240 +0.096 0.295 0.14
  R5 dobb .0006 DOB1.0          26 | 0.101 0.047 0.014 0.063    | 0.56 +0.45 0.346  |   0.38  | 0.028    3.6  0 0.094          | 0.52 0.56 +0.72   8.5 +0.64     |  3.85  0 0.352 +0.144 0.288 0.13
