v293r5_design_lowspeed -- shortlist at 6 / 8 / 12 m/s, and the SMALL-STEP stiction test T7 at 8 / 12 / 19 / 26 m/s (F x1.5)

============================================================================================================================================
WORLD ident (b F1, J 1e-4) | NEED x1.0 | low speed
  cfg                              v | T1 dist |e| .5 1 2 s, rms      | T2 rise ov rms         | T3 pkpk | T5 stiction: rms e, pk rate, dwells, max|e|
  cfg                              v | T1 dist |e| .5 1 2 s, rms      | T2 rise ov rms         | T3 pkpk | T5 stiction: rms e, pk rate, dwells, max|e|
  R4-flown                         6 |  0.030  0.032  0.029  0.026    |  0.70  +0.11  0.370    |   1.82  |  0.070     9.9   1  0.093
  R4-flown                         8 |  0.048  0.049  0.044  0.040    |  0.68  +0.15  0.373    |   1.38  |  0.076     5.7   1  0.098
  R4-flown                        12 |  0.073  0.066  0.040  0.046    |  0.66  +0.14  0.360    |   0.23  |  0.065     3.5   0  0.084
  R4+DOB.8 Ki.3flat                6 |  0.025  0.014  0.001  0.011    |  0.72  +0.03  0.351    |   0.89  |  0.036    13.0   1  0.060
  R4+DOB.8 Ki.3flat                8 |  0.041  0.019  0.001  0.018    |  0.70  +0.05  0.348    |   0.62  |  0.037     8.6   1  0.068
  R4+DOB.8 Ki.3flat               12 |  0.055  0.026  0.001  0.024    |  0.75  +0.06  0.351    |   0.99  |  0.044     5.0   0  0.076
  Kp1.2 notch DOB.8 Ki.3           6 |  0.024  0.014  0.000  0.011    |  0.72  +0.02  0.350    |   1.03  |  0.037    13.1   1  0.060
  Kp1.2 notch DOB.8 Ki.3           8 |  0.040  0.016  0.001  0.017    |  0.69  +0.05  0.347    |   0.51  |  0.037     8.7   1  0.067
  Kp1.2 notch DOB.8 Ki.3          12 |  0.055  0.018  0.008  0.023    |  0.72  +0.04  0.348    |   0.84  |  0.043     5.1   1  0.075
  Kp1.5 notch DOB.8 Ki.3           6 |  0.025  0.013  0.000  0.011    |  0.71  +0.02  0.350    |   0.59  |  0.037    13.1   1  0.060
  Kp1.5 notch DOB.8 Ki.3           8 |  0.038  0.015  0.000  0.017    |  0.69  +0.06  0.346    |   0.65  |  0.036     8.9   1  0.067
  Kp1.5 notch DOB.8 Ki.3          12 |  0.054  0.016  0.008  0.022    |  0.71  +0.03  0.346    |   0.65  |  0.042     5.2   1  0.074
  Kp2 NOnotch Kv1e-3 DOB1 Ki.3     6 |  0.020  0.009  0.001  0.009    |  0.70  +0.01  0.343    |   0.70  |  0.036    14.4   1  0.054
  Kp2 NOnotch Kv1e-3 DOB1 Ki.3     8 |  0.031  0.012  0.006  0.013    |  0.68  +0.03  0.338    |   0.51  |  0.034     9.6   1  0.060
