cell,metric,note,pair,target_est,ref_est,n_target,routes_target,n_ref,routes_ref,diff,ci_lo,ci_hi,mde80,effect_over_mde,excludes0,ref_ok
R10_2.5-5,rate_hf_per_peak,5,V282old-V282,0.1194,0.0996,11,2,23,3,0.0197,-0.0451,0.0767,0.0702,0.2809,False,True
R10_2.5-5,rate_mode_per_peak,5,T4-V282,0.0732,0.0459,8,1,23,3,0.0273,-0.0001,0.1032,0.0689,0.3969,False,True
R10_2.5-5,rate_mode_per_peak,5,T4-V282old,0.0732,0.0334,8,1,11,2,0.0398,0.0101,0.1141,0.0622,0.6397,True,False
R10_2.5-5,rate_mode_per_peak,5,T4-V282pool,0.0732,0.0375,8,1,34,5,0.0357,0.0036,0.1089,0.064,0.5577,True,True
R10_2.5-5,rate_mode_per_peak,5,T4-V282_LOO,0.0732,0.0372,8,1,6,2,0.036,-0.0022,0.1038,0.0776,0.4641,False,False
R10_2.5-5,rate_mode_per_peak,5,V282old-V282,0.0334,0.0459,11,2,23,3,-0.0124,-0.0238,0.0205,0.032,0.3883,False,True
R10_5-8,mode_ratio_1.8-3Hz,4,T64-V282,0.4311,0.0625,18,2,33,3,0.3686,0.1697,0.4298,0.1835,2.0089,True,False
R10_5-8,mode_ratio_1.8-3Hz,4,T64-V282old,0.4311,0.0687,18,2,50,3,0.3624,0.1586,0.438,0.1836,1.9737,True,True
R10_5-8,mode_ratio_1.8-3Hz,4,T64-V282pool,0.4311,0.0657,18,2,83,6,0.3655,0.1698,0.4314,0.1774,2.0597,True,True
R10_5-8,mode_ratio_1.8-3Hz,4,T64-V282_LOO,0.4311,0.0594,18,2,12,2,0.3717,0.1685,0.4371,0.1898,1.9579,True,False
R10_5-8,mode_ratio_1.8-3Hz,4,T64B-V282,0.3565,0.0625,24,1,33,3,0.294,0.2258,0.366,0.0868,3.3861,True,False
R10_5-8,mode_ratio_1.8-3Hz,4,T64B-V282old,0.3565,0.0687,24,1,50,3,0.2878,0.2511,0.3687,0.0858,3.3521,True,True
R10_5-8,mode_ratio_1.8-3Hz,4,T64B-V282pool,0.3565,0.0657,24,1,83,6,0.2908,0.2503,0.3608,0.0793,3.6689,True,True
R10_5-8,mode_ratio_1.8-3Hz,4,T64B-V282_LOO,0.3565,0.0594,24,1,12,2,0.297,0.2074,0.3681,0.0966,3.0748,True,False
R10_5-8,mode_ratio_1.8-3Hz,4,T5-V282,0.2831,0.0625,10,1,33,3,0.2206,0.1164,0.3143,0.1338,1.6483,True,False
R10_5-8,mode_ratio_1.8-3Hz,4,T5-V282old,0.2831,0.0687,10,1,50,3,0.2144,0.1174,0.3214,0.1364,1.5718,True,True
R10_5-8,mode_ratio_1.8-3Hz,4,T5-V282pool,0.2831,0.0657,10,1,83,6,0.2174,0.1132,0.3184,0.1323,1.6441,True,True
R10_5-8,mode_ratio_1.8-3Hz,4,T5-V282_LOO,0.2831,0.0594,10,1,12,2,0.2237,0.1154,0.3231,0.1491,1.5004,True,False
R10_5-8,mode_ratio_1.8-3Hz,4,T4-V282,0.4147,0.0625,30,1,33,3,0.3522,0.2728,0.4978,0.1471,2.394,True,False
R10_5-8,mode_ratio_1.8-3Hz,4,T4-V282old,0.4147,0.0687,30,1,50,3,0.346,0.2843,0.4997,0.1474,2.3472,True,True
R10_5-8,mode_ratio_1.8-3Hz,4,T4-V282pool,0.4147,0.0657,30,1,83,6,0.3491,0.2835,0.4983,0.1433,2.4359,True,True
R10_5-8,mode_ratio_1.8-3Hz,4,T4-V282_LOO,0.4147,0.0594,30,1,12,2,0.3553,0.2615,0.4983,0.1566,2.2685,True,False
R10_5-8,mode_ratio_1.8-3Hz,4,V282old-V282,0.0687,0.0625,50,3,33,3,0.0062,-0.0538,0.034,0.0604,0.1022,False,False
R10_5-8,hf_ratio_2-10Hz,4,T64-V282,0.4669,0.1863,18,2,33,3,0.2806,0.0595,0.3593,0.2112,1.3284,True,False
R10_5-8,hf_ratio_2-10Hz,4,T64-V282old,0.4669,0.1772,18,2,50,3,0.2897,0.0802,0.3758,0.194,1.4934,True,True
R10_5-8,hf_ratio_2-10Hz,4,T64-V282pool,0.4669,0.1806,18,2,83,6,0.2863,0.0601,0.3562,0.1937,1.4782,True,True
R10_5-8,hf_ratio_2-10Hz,4,T64-V282_LOO,0.4669,0.1751,18,2,12,2,0.2918,0.0704,0.3931,0.2412,1.21,True,False
R10_5-8,hf_ratio_2-10Hz,4,T64B-V282,0.4856,0.1863,24,1,33,3,0.2993,0.1525,0.4278,0.1831,1.6344,True,False
R10_5-8,hf_ratio_2-10Hz,4,T64B-V282old,0.4856,0.1772,24,1,50,3,0.3084,0.1843,0.4458,0.1663,1.855,True,True
R10_5-8,hf_ratio_2-10Hz,4,T64B-V282pool,0.4856,0.1806,24,1,83,6,0.305,0.1887,0.4336,0.1604,1.9015,True,True
R10_5-8,hf_ratio_2-10Hz,4,T64B-V282_LOO,0.4856,0.1751,24,1,12,2,0.3106,0.1231,0.4308,0.2174,1.4285,True,False
R10_5-8,hf_ratio_2-10Hz,4,T5-V282,0.4068,0.1863,10,1,33,3,0.2205,0.0623,0.319,0.1678,1.3138,True,False
R10_5-8,hf_ratio_2-10Hz,4,T5-V282old,0.4068,0.1772,10,1,50,3,0.2296,0.0872,0.3414,0.1538,1.493,True,True
R10_5-8,hf_ratio_2-10Hz,4,T5-V282pool,0.4068,0.1806,10,1,83,6,0.2261,0.0824,0.3122,0.1455,1.554,True,True
R10_5-8,hf_ratio_2-10Hz,4,T5-V282_LOO,0.4068,0.1751,10,1,12,2,0.2317,0.0479,0.3393,0.2128,1.0891,True,False
R10_5-8,hf_ratio_2-10Hz,4,T4-V282,0.5078,0.1863,30,1,33,3,0.3214,0.1751,0.4152,0.1629,1.9727,True,False
R10_5-8,hf_ratio_2-10Hz,4,T4-V282old,0.5078,0.1772,30,1,50,3,0.3305,0.2077,0.4323,0.1488,2.2216,True,True
R10_5-8,hf_ratio_2-10Hz,4,T4-V282pool,0.5078,0.1806,30,1,83,6,0.3271,0.2072,0.407,0.1379,2.3719,True,True
R10_5-8,hf_ratio_2-10Hz,4,T4-V282_LOO,0.5078,0.1751,30,1,12,2,0.3327,0.1336,0.4348,0.2115,1.5733,True,False
R10_5-8,hf_ratio_2-10Hz,4,V282old-V282,0.1772,0.1863,50,3,33,3,-0.0091,-0.1237,0.0503,0.118,0.0771,False,False
R10_5-8,mode_rms_1.8-3Hz,4,T64-V282,5.0472,0.7632,18,2,33,3,4.284,1.5611,7.926,4.2698,1.0033,True,False
R10_5-8,mode_rms_1.8-3Hz,4,T64-V282old,5.0472,0.6756,18,2,50,3,4.3717,1.7143,8.007,4.2648,1.0251,True,True
R10_5-8,mode_rms_1.8-3Hz,4,T64-V282pool,5.0472,0.6966,18,2,83,6,4.3506,1.6734,7.8734,4.247,1.0244,True,True
R10_5-8,mode_rms_1.8-3Hz,4,T64-V282_LOO,5.0472,0.7769,18,2,12,2,4.2703,1.4466,7.8495,4.2918,0.995,True,False
R10_5-8,mode_rms_1.8-3Hz,4,T64B-V282,2.7849,0.7632,24,1,33,3,2.0216,1.0779,3.0366,1.2233,1.6526,True,False
R10_5-8,mode_rms_1.8-3Hz,4,T64B-V282old,2.7849,0.6756,24,1,50,3,2.1093,1.0912,3.0894,1.1883,1.7751,True,True
R10_5-8,mode_rms_1.8-3Hz,4,T64B-V282pool,2.7849,0.6966,24,1,83,6,2.0883,0.9866,3.0671,1.1848,1.7625,True,True
R10_5-8,mode_rms_1.8-3Hz,4,T64B-V282_LOO,2.7849,0.7769,24,1,12,2,2.0079,1.087,3.0535,1.2936,1.5522,True,False
R10_5-8,mode_rms_1.8-3Hz,4,T5-V282,3.0427,0.7632,10,1,33,3,2.2795,0.7093,3.9839,2.2596,1.0088,True,False
R10_5-8,mode_rms_1.8-3Hz,4,T5-V282old,3.0427,0.6756,10,1,50,3,2.3671,0.8637,4.0529,2.2282,1.0624,True,True
R10_5-8,mode_rms_1.8-3Hz,4,T5-V282pool,3.0427,0.6966,10,1,83,6,2.3461,0.8061,3.908,2.2422,1.0463,True,True
