========================================================================================================================================================
SERIES DECOMPOSITION, per route.  H_fork = model -> controller setpoint;  H_dwn = setpoint -> achieved;
  H_tot = model -> achieved.  lag in s.  'refFF pred' = the fork's own AccordRefFilter PHASE delay
  2*atan(w*RC)/w at the band centre (two cascaded first-order lags of RC each, latcontrol_torque.py:319-326).
  PHASE delay, not group delay, because lag_eq below is -phase/(2*pi*f) -- ALGEBRA on the filter alone,
  printed next to the MEASURED lag_fork.  Nothing here is chained into a closed-loop prediction.
========================================================================================================================================================

00000064--ce6b0b0ebb  V282      V282  refFilt ABSENT LAF6.0 Kp0.9 fric0.01 Ki0.3 obs- SR16.33
   band        v m/s       n/sec | H_fork   coh  lag_f refFF pred |  H_dwn   coh  lag_d |  H_tot   coh  lag_t | H_f*H_d lag_f+d
   0.10-0.25   22-40      8/ 164 |  1.002  1.00 +0.121      0.120 |  1.102  0.96 +0.156 |  1.102  0.95 +0.277 |   1.104  +0.277
   0.25-0.50   22-40      8/ 164 |  1.035  1.00 +0.132      0.119 |  1.353  0.91 +0.394 |  1.396  0.91 +0.526 |   1.400  +0.526
   0.50-1.00   0-8      10/  51 |  1.151  0.98 +0.119      0.117 |  1.991  0.85 +0.152 |  2.224  0.78 +0.271 |   2.293  +0.271
   0.50-1.00   8-15     26/ 133 |  1.024  0.97 +0.125      0.117 |  1.286  0.67 +0.185 |  1.307  0.64 +0.302 |   1.317  +0.310
   0.50-1.00   15-22     14/  72 |  1.057  0.98 +0.132      0.117 |  1.296  0.77 +0.244 |  1.386  0.76 +0.372 |   1.370  +0.375
   0.50-1.00   22-40     36/ 184 |  1.038  0.98 +0.130      0.117 |  1.430  0.80 +0.237 |  1.479  0.78 +0.370 |   1.484  +0.367
   1.00-2.00   0-8      10/  51 |  0.752  0.84 +0.180      0.109 |  1.327  0.57 +0.131 |  0.806  0.25 -0.050 |   0.998  +0.311
   1.00-2.00   8-15     26/ 133 |  0.685  0.94 +0.173      0.109 |  1.128  0.29 +0.014 |  0.888  0.27 +0.159 |   0.772  +0.187
   1.00-2.00   15-22     14/  72 |  0.535  0.98 +0.173      0.109 |  5.851  0.72 -0.052 |  3.980  0.81 +0.101 |   3.130  +0.120
   1.00-2.00   22-40     36/ 184 |  0.606  0.96 +0.172      0.109 |  3.500  0.66 -0.020 |  2.784  0.71 +0.127 |   2.120  +0.152

0000006d--05e83bb04f  T64       T64   refFilt 0.06   LAF14  Kp1.0 fric0.212 Ki0.3 obs0.6 rlg0.001
   band        v m/s       n/sec | H_fork   coh  lag_f refFF pred |  H_dwn   coh  lag_d |  H_tot   coh  lag_t | H_f*H_d lag_f+d
   0.10-0.25   15-22      5/ 102 |  1.001  1.00 +0.111      0.120 |  1.084  0.93 +0.062 |  1.083  0.92 +0.170 |   1.085  +0.173
   0.25-0.50   15-22      5/ 102 |  1.037  1.00 +0.129      0.119 |  1.155  0.90 +0.397 |  1.194  0.90 +0.526 |   1.197  +0.526
   0.50-1.00   0-8      12/  61 |  1.181  0.97 +0.078      0.117 |  1.282  0.81 +0.183 |  1.461  0.74 +0.260 |   1.514  +0.260
   0.50-1.00   8-15     26/ 133 |  1.005  0.95 +0.135      0.117 |  1.097  0.65 +0.237 |  1.076  0.59 +0.392 |   1.103  +0.372
   0.50-1.00   15-22     34/ 174 |  1.079  0.97 +0.138      0.117 |  1.522  0.76 +0.231 |  1.635  0.72 +0.375 |   1.642  +0.369
   0.50-1.00   22-40     13/  67 |  0.987  0.99 +0.122      0.117 |  1.278  0.80 +0.250 |  1.270  0.79 +0.374 |   1.261  +0.372
   1.00-2.00   0-8      12/  61 |  0.561  0.88 +0.149      0.109 |  1.093  0.44 +0.144 |  0.661  0.32 +0.065 |   0.613  +0.294
   1.00-2.00   8-15     26/ 133 |  0.639  0.94 +0.163      0.109 |  1.449  0.37 +0.067 |  1.172  0.43 +0.189 |   0.927  +0.231
   1.00-2.00   15-22     34/ 174 |  0.649  0.96 +0.171      0.109 |  2.410  0.50 -0.010 |  2.116  0.60 +0.140 |   1.564  +0.161
   1.00-2.00   22-40     13/  67 |  0.651  0.96 +0.168      0.109 |  2.898  0.48 -0.041 |  2.454  0.59 +0.120 |   1.885  +0.127

0000006e--6ca3e014fd  T64B      T64B  refFilt 0.06   LAF14  Kp1.0 fric0.00 Ki0.3 obs0.6 hold OFF
   band        v m/s       n/sec | H_fork   coh  lag_f refFF pred |  H_dwn   coh  lag_d |  H_tot   coh  lag_t | H_f*H_d lag_f+d
   0.10-0.25   8-15      5/ 102 |  1.018  1.00 +0.128      0.120 |  1.242  0.97 +0.699 |  1.264  0.97 +0.828 |   1.264  +0.828
   0.10-0.25   15-22      5/ 102 |  1.016  1.00 +0.124      0.120 |  1.093  0.93 +0.429 |  1.107  0.92 +0.553 |   1.110  +0.553
   0.10-0.25   22-40      4/  82 |  1.005  1.00 +0.088      0.120 |  1.075  0.92 +0.147 |  1.075  0.91 +0.233 |   1.080  +0.235
   0.25-0.50   8-15      5/ 102 |  1.038  1.00 +0.128      0.119 |  1.067  0.85 +0.355 |  1.110  0.86 +0.484 |   1.108  +0.483
   0.25-0.50   15-22      5/ 102 |  1.039  1.00 +0.127      0.119 |  1.298  0.89 +0.328 |  1.345  0.89 +0.458 |   1.348  +0.455
   0.25-0.50   22-40      4/  82 |  1.041  1.00 +0.129      0.119 |  1.370  0.96 +0.385 |  1.424  0.95 +0.515 |   1.426  +0.514
   0.50-1.00   0-8      16/  82 |  1.131  0.99 +0.132      0.117 |  1.074  0.90 +0.183 |  1.207  0.88 +0.314 |   1.214  +0.315
   0.50-1.00   8-15     47/ 241 |  1.052  0.97 +0.119      0.117 |  1.483  0.65 +0.049 |  1.569  0.61 +0.173 |   1.560  +0.168
   0.50-1.00   15-22     27/ 138 |  1.014  0.96 +0.130      0.117 |  1.454  0.70 +0.151 |  1.471  0.67 +0.292 |   1.475  +0.281
   0.50-1.00   22-40     18/  92 |  1.015  0.97 +0.124      0.117 |  1.320  0.61 +0.193 |  1.348  0.59 +0.321 |   1.339  +0.317
   1.00-2.00   0-8      16/  82 |  0.499  0.91 +0.157      0.109 |  0.662  0.35 +0.115 |  0.354  0.30 +0.024 |   0.330  +0.272
   1.00-2.00   8-15     47/ 241 |  0.670  0.93 +0.163      0.109 |  1.693  0.28 +0.003 |  1.359  0.28 +0.131 |   1.135  +0.165
   1.00-2.00   15-22     27/ 138 |  0.467  0.93 +0.154      0.109 |  6.486  0.37 -0.046 |  4.708  0.65 +0.079 |   3.030  +0.108
   1.00-2.00   22-40     18/  92 |  0.563  0.95 +0.165      0.109 |  4.378  0.63 -0.034 |  3.362  0.75 +0.103 |   2.464  +0.131

00000076--d0b7ea7e4d  T5        T5    refFilt 0.12   LAF14  Kp1.0 fric0.00 Ki0.3 obs0.6 rlg0.001
   band        v m/s       n/sec | H_fork   coh  lag_f refFF pred |  H_dwn   coh  lag_d |  H_tot   coh  lag_t | H_f*H_d lag_f+d
   0.10-0.25   22-40      4/  82 |  1.093  1.00 +0.271      0.239 |  1.008  0.96 +0.465 |  1.093  0.95 +0.738 |   1.102  +0.736
   0.25-0.50   22-40      4/  82 |  1.081  1.00 +0.260      0.234 |  0.998  0.97 +0.397 |  1.077  0.97 +0.661 |   1.079  +0.658
   0.50-1.00   0-8      11/  56 |  0.978  0.63 +0.157      0.218 |  1.249  0.71 +0.059 |  1.037  0.29 +0.188 |   1.221  +0.217
   0.50-1.00   8-15     11/  56 |  1.031  0.77 +0.283      0.218 |  1.051  0.70 +0.044 |  1.121  0.60 +0.327 |   1.084  +0.326
   0.50-1.00   15-22     21/ 108 |  1.031  0.94 +0.243      0.218 |  0.916  0.77 +0.264 |  0.925  0.67 +0.500 |   0.945  +0.507
   0.50-1.00   22-40     27/ 138 |  1.100  0.89 +0.251      0.218 |  1.141  0.82 +0.115 |  1.356  0.83 +0.371 |   1.255  +0.367
   1.00-2.00   0-8      11/  56 |  0.281  0.67 +0.239      0.180 |  4.056  0.49 +0.105 |  1.599  0.55 -0.084 |   1.139  +0.345
   1.00-2.00   8-15     11/  56 |  0.404  0.70 -0.051      0.180 |  0.625  0.04 -0.328 |  0.658  0.20 +0.200 |   0.252  -0.379
   1.00-2.00   15-22     21/ 108 |  0.352  0.81 -0.093      0.180 |  2.960  0.25 -0.221 |  2.022  0.44 +0.105 |   1.041  -0.314
   1.00-2.00   22-40     27/ 138 |  0.391  0.76 -0.016      0.180 |  4.031  0.58 -0.212 |  2.794  0.71 +0.120 |   1.577  -0.228

00000075--6c8687d5bd  T4        T4    refFilt 0.12   LAF14  Kp0.85 fric0.212 Ki0.6/2.5 obs OFF rlg0.0006
   band        v m/s       n/sec | H_fork   coh  lag_f refFF pred |  H_dwn   coh  lag_d |  H_tot   coh  lag_t | H_f*H_d lag_f+d
   0.10-0.25   8-15      5/ 102 |  0.970  1.00 +0.195      0.239 |  0.955  0.93 +0.197 |  0.922  0.91 +0.389 |   0.926  +0.392
   0.25-0.50   8-15      5/ 102 |  0.975  0.98 +0.255      0.234 |  1.058  0.87 +0.214 |  1.059  0.89 +0.486 |   1.032  +0.469
   0.50-1.00   0-8      23/ 118 |  0.806  0.83 +0.259      0.218 |  1.629  0.64 +0.193 |  1.311  0.52 +0.488 |   1.313  +0.452
   0.50-1.00   8-15     50/ 256 |  1.077  0.88 +0.233      0.218 |  1.343  0.70 +0.003 |  1.500  0.64 +0.247 |   1.446  +0.236
   0.50-1.00   15-22     21/ 108 |  0.947  0.87 +0.242      0.218 |  1.543  0.72 +0.087 |  1.516  0.67 +0.335 |   1.462  +0.329
   0.50-1.00   22-40     15/  77 |  1.014  0.94 +0.281      0.218 |  1.346  0.76 +0.108 |  1.376  0.70 +0.387 |   1.366  +0.389
   1.00-2.00   0-8      23/ 118 |  0.339  0.72 +0.127      0.180 |  0.430  0.04 +0.026 |  0.300  0.09 -0.133 |   0.146  +0.153
   1.00-2.00   8-15     50/ 256 |  0.356  0.62 -0.099      0.180 |  1.693  0.10 -0.138 |  1.260  0.23 +0.101 |   0.603  -0.238
   1.00-2.00   15-22     21/ 108 |  0.391  0.66 -0.055      0.180 |  3.352  0.37 -0.172 |  2.443  0.55 +0.093 |   1.312  -0.227
   1.00-2.00   22-40     15/  77 |  0.290  0.72 +0.051      0.180 |  5.468  0.39 -0.208 |  3.760  0.71 +0.100 |   1.583  -0.157

========================================================================================================================================================
SUMMARY: is the extra lag the FORK's demand shaping or the EPS+plant?  medians over speed bins,
  V282 = the reference (no AccordRefFilter key on the wire at all).
========================================================================================================================================================
band        group     routes  H_fork   lag_f   pred   H_dwn   lag_d   H_tot   lag_t  d lag_f vs V282  d lag_d vs V282
0.10-0.25   V282           3   1.039  +0.010  0.000   0.863  +0.289   0.897  +0.303           +0.000           +0.000
0.10-0.25   T64_rc06       3   1.005  +0.121  0.120   1.093  +0.156   1.102  +0.277           +0.111           -0.134
0.10-0.25   V282old        2   1.048  +0.015  0.000   1.302  +0.331   1.366  +0.347           +0.005           +0.041
0.25-0.50   V282           3   1.141  +0.040  0.000   0.873  +0.255   1.006  +0.295           +0.000           +0.000
