
##### V282old minus V282  (lags in s; gap [95% CI]; pred = transfer-function shaping gap)
vb    band      terc    sec V/T |                  x->sp    pred |                sp->act |              act->pose |                x->pose |         COMMON x->pose | ctlV/T
2-8   0.15-0.3  hi      27/58   |    +0.264[+0.21,+0.28] +0.243 |    -0.352[-0.49,-0.22] |    +0.003[-0.04,+0.01] |    -0.086[-0.23,+0.04] |    -0.164[-0.31,-0.04] | 0.308/0.297
2-8   0.15-0.3  all    242/119  |    +0.262[+0.22,+0.28] +0.243 |    -0.346[-0.48,-0.22] |    +0.003[-0.04,+0.01] |    -0.083[-0.23,+0.03] |    -0.161[-0.31,-0.05] | 0.306/0.297
8-15  0.15-0.3  lo     360/129  |    +0.257[+0.24,+0.28] +0.243 |    +0.238[+0.14,+0.34] |    +0.005[-0.03,+0.05] |    +0.528[+0.44,+0.66] |    +0.435[+0.34,+0.56] | 0.295/0.308
8-15  0.15-0.3  mid    147/91   |    +0.259[+0.25,+0.27] +0.245 |    +0.129[+0.05,+0.21] |    -0.015[-0.03,+0.01] |    +0.377[+0.29,+0.46] |    +0.292[+0.20,+0.38] | 0.293/0.306
8-15  0.15-0.3  hi      85/79   |    +0.251[+0.24,+0.26] +0.244 |    -0.125[-0.22,-0.01] |    +0.009[-0.00,+0.03] |    +0.136[+0.04,+0.26] |    +0.055[-0.04,+0.17] | 0.296/0.299
8-15  0.15-0.3  all    592/298  |    +0.251[+0.24,+0.26] +0.244 |    -0.105[-0.18,-0.00] |    +0.006[-0.01,+0.02] |    +0.152[+0.07,+0.26] |    +0.071[-0.01,+0.18] | 0.296/0.299
15-22 0.15-0.3  mid    175/42   |    +0.248[+0.24,+0.27] +0.244 |    +0.212[+0.11,+0.31] |    -0.033[-0.07,-0.00] |    +0.443[+0.33,+0.56] |    +0.357[+0.24,+0.47] | 0.300/0.303
15-22 0.15-0.3  hi      95/69   |    +0.254[+0.25,+0.27] +0.247 |    +0.055[-0.04,+0.15] |    +0.006[-0.03,+0.03] |    +0.323[+0.23,+0.41] |    +0.239[+0.14,+0.32] | 0.297/0.303
15-22 0.15-0.3  all    636/116  |    +0.254[+0.25,+0.27] +0.247 |    +0.055[-0.03,+0.14] |    -0.004[-0.04,+0.02] |    +0.309[+0.22,+0.40] |    +0.225[+0.13,+0.32] | 0.298/0.303
>22   0.15-0.3  mid    636/42   |    +0.248[+0.18,+0.25] +0.247 |    +0.218[-0.07,+0.28] |    -0.053[-0.19,+0.00] |    +0.408[-0.10,+0.46] |    +0.328[-0.17,+0.38] | 0.300/0.302
>22   0.15-0.3  hi     317/33   |    +0.247[+0.24,+0.25] +0.248 |    +0.214[+0.18,+0.23] |    +0.002[-0.06,+0.04] |    +0.462[+0.35,+0.51] |    +0.382[+0.27,+0.43] | 0.300/0.299
>22   0.15-0.3  all   1877/79   |    +0.247[+0.23,+0.25] +0.248 |    +0.209[+0.03,+0.23] |    -0.017[-0.08,+0.03] |    +0.433[+0.14,+0.47] |    +0.353[+0.07,+0.39] | 0.300/0.300
2-8   0.3-0.6   lo     219/30   |    +0.253[+0.21,+0.27] +0.254 |    +0.050[-0.13,+0.20] |    -0.038[-0.13,+0.20] |    +0.356[+0.16,+0.58] |    +0.255[+0.06,+0.44] | 0.305/0.300
2-8   0.3-0.6   mid     80/63   |    +0.247[+0.23,+0.26] +0.246 |    -0.088[-0.25,+0.04] |    +0.003[-0.03,+0.02] |    +0.269[+0.12,+0.41] |    +0.187[+0.05,+0.32] | 0.297/0.295
2-8   0.3-0.6   hi      38/55   |    +0.247[+0.21,+0.27] +0.242 |    -0.198[-0.40,-0.07] |    +0.020[+0.00,+0.03] |    +0.095[-0.11,+0.24] |    +0.016[-0.19,+0.16] | 0.285/0.296
2-8   0.3-0.6   all    337/148  |    +0.246[+0.21,+0.27] +0.242 |    -0.190[-0.36,-0.05] |    +0.018[+0.00,+0.04] |    +0.100[-0.10,+0.25] |    +0.021[-0.16,+0.16] | 0.286/0.296
8-15  0.3-0.6   lo     326/117  |    +0.242[+0.22,+0.25] +0.248 |    +0.003[-0.11,+0.09] |    +0.003[-0.05,+0.03] |    +0.294[+0.18,+0.37] |    +0.199[+0.08,+0.28] | 0.296/0.295
8-15  0.3-0.6   mid    210/118  |    +0.244[+0.24,+0.25] +0.246 |    -0.032[-0.09,+0.03] |    -0.025[-0.06,+0.02] |    +0.212[+0.14,+0.32] |    +0.129[+0.06,+0.23] | 0.295/0.297
8-15  0.3-0.6   hi     147/84   |    +0.250[+0.24,+0.27] +0.244 |    -0.120[-0.17,-0.06] |    +0.015[-0.00,+0.03] |    +0.162[+0.12,+0.22] |    +0.079[+0.04,+0.13] | 0.295/0.300
8-15  0.3-0.6   all    684/319  |    +0.250[+0.24,+0.26] +0.244 |    -0.116[-0.16,-0.06] |    +0.012[-0.00,+0.03] |    +0.160[+0.13,+0.21] |    +0.077[+0.04,+0.13] | 0.295/0.300
15-22 0.3-0.6   lo     391/28   |    +0.242[+0.22,+0.27] +0.251 |    +0.025[-0.07,+0.08] |    -0.016[-0.12,+0.02] |    +0.252[+0.05,+0.30] |    +0.154[-0.04,+0.20] | 0.300/0.294
15-22 0.3-0.6   mid    192/32   |    +0.233[+0.20,+0.25] +0.244 |    -0.007[-0.07,+0.18] |    -0.024[-0.05,-0.00] |    +0.239[+0.19,+0.35] |    +0.151[+0.11,+0.27] | 0.299/0.294
15-22 0.3-0.6   hi      82/61   |    +0.230[+0.22,+0.24] +0.242 |    +0.008[-0.03,+0.04] |    -0.002[-0.03,+0.01] |    +0.243[+0.18,+0.28] |    +0.165[+0.10,+0.20] | 0.300/0.295
15-22 0.3-0.6   all    665/121  |    +0.231[+0.22,+0.24] +0.242 |    -0.004[-0.03,+0.03] |    -0.006[-0.03,+0.00] |    +0.219[+0.16,+0.26] |    +0.140[+0.09,+0.18] | 0.300/0.295
>22   0.3-0.6   lo    1061/34   |    +0.237[+0.23,+0.24] +0.243 |    +0.056[-0.01,+0.10] |    -0.137[-0.22,-0.06] |    +0.160[+0.05,+0.25] |    +0.073[-0.04,+0.17] | 0.299/0.296
>22   0.3-0.6   mid    576/28   |    +0.253[+0.24,+0.26] +0.249 |    +0.022[-0.02,+0.08] |    -0.122[-0.14,-0.06] |    +0.136[+0.09,+0.23] |    +0.054[+0.01,+0.14] | 0.300/0.303
>22   0.3-0.6   hi     265/20   |    +0.239[+0.23,+0.25] +0.244 |    +0.084[+0.06,+0.10] |    -0.069[-0.10,-0.00] |    +0.250[+0.21,+0.31] |    +0.170[+0.13,+0.23] | 0.299/0.299
>22   0.3-0.6   all   1903/82   |    +0.242[+0.24,+0.25] +0.245 |    +0.064[+0.04,+0.08] |    -0.090[-0.11,-0.03] |    +0.207[+0.17,+0.27] |    +0.126[+0.09,+0.19] | 0.299/0.299
2-8   0.6-1.2   lo     194/51   |    +0.215[+0.20,+0.24] +0.227 |    -0.110[-0.24,+0.02] |    +0.001[-0.05,+0.04] |    +0.094[+0.02,+0.16] |    -0.014[-0.08,+0.06] | 0.301/0.298
2-8   0.6-1.2   mid    143/51   |    +0.221[+0.20,+0.23] +0.229 |    -0.059[-0.18,+0.05] |    -0.012[-0.07,+0.02] |    +0.146[+0.09,+0.21] |    +0.070[-0.01,+0.15] | 0.300/0.302
2-8   0.6-1.2   hi      54/61   |    +0.246[+0.16,+0.28] +0.258 |    -0.005[-0.09,+0.06] |    -0.001[-0.03,+0.02] |    -0.761[-0.83,+0.21] |    +0.176[-0.84,+0.21] | 0.297/0.299
2-8   0.6-1.2   all    391/163  |    +0.242[+0.17,+0.27] +0.255 |    -0.010[-0.08,+0.05] |    -0.001[-0.03,+0.02] |    -0.781[-0.85,+0.18] |    +0.162[-0.85,+0.19] | 0.298/0.299
8-15  0.6-1.2   lo     257/127  |    +0.223[+0.21,+0.23] +0.232 |    +0.028[-0.03,+0.11] |    +0.022[-0.03,+0.06] |    +0.105[+0.02,+0.20] |    +0.043[-0.04,+0.13] | 0.299/0.300
8-15  0.6-1.2   mid    252/106  |    +0.223[+0.22,+0.23] +0.236 |    -0.014[-0.08,+0.04] |    +0.002[-0.03,+0.06] |    +0.135[+0.08,+0.21] |    +0.061[+0.00,+0.13] | 0.301/0.299
8-15  0.6-1.2   hi     211/94   |    +0.230[+0.22,+0.25] +0.236 |    -0.241[-0.29,-0.08] |    -0.009[-0.03,+0.00] |    -0.028[-0.07,+0.13] |    -0.108[-0.15,+0.05] | 0.297/0.299
8-15  0.6-1.2   all    721/326  |    +0.228[+0.22,+0.24] +0.236 |    -0.229[-0.28,-0.05] |    -0.005[-0.02,+0.00] |    -0.024[-0.07,+0.13] |    -0.103[-0.15,+0.06] | 0.298/0.299
15-22 0.6-1.2   lo     271/42   |    +0.200[+0.19,+0.22] +0.229 |    -0.162[-0.25,-0.09] |    +0.051[+0.03,+0.08] |    -0.062[-0.16,+0.05] |    -0.122[-0.21,-0.01] | 0.299/0.288
15-22 0.6-1.2   mid    227/32   |    +0.219[+0.20,+0.24] +0.235 |    -0.124[-0.19,-0.06] |    +0.004[-0.03,+0.03] |    +0.035[-0.05,+0.10] |    -0.041[-0.13,+0.03] | 0.301/0.299
15-22 0.6-1.2   hi     181/51   |    +0.202[+0.17,+0.23] +0.237 |    -0.199[-0.24,-0.14] |    +0.019[-0.00,+0.03] |    +0.000[-0.06,+0.09] |    -0.074[-0.13,+0.01] | 0.299/0.294
15-22 0.6-1.2   all    679/124  |    +0.203[+0.17,+0.23] +0.236 |    -0.193[-0.23,-0.14] |    +0.020[+0.00,+0.03] |    -0.002[-0.06,+0.07] |    -0.076[-0.13,-0.01] | 0.299/0.294
>22   0.6-1.2   lo     617/33   |    +0.214[+0.21,+0.31] +0.236 |    +0.067[+0.00,+0.12] |    +0.015[-0.14,+0.07] |    -0.055[-0.10,+0.21] |    -0.149[-0.19,+0.16] | 0.299/0.297
>22   0.6-1.2   mid    599/34   |    +0.226[+0.21,+0.32] +0.236 |    -0.048[-0.09,+0.01] |    -0.003[-0.08,+0.04] |    +0.045[+0.01,+0.14] |    -0.039[-0.07,+0.03] | 0.300/0.301
>22   0.6-1.2   all   1916/84   |    +0.221[+0.21,+0.24] +0.237 |    -0.056[-0.08,-0.02] |    -0.014[-0.06,+0.01] |    +0.060[+0.02,+0.12] |    -0.021[-0.06,+0.04] | 0.299/0.299

##### absolute lags, V282 (x->sp, sp->act, act->pose, x->pose; pred shaping)
2-8   0.05-0.15 lo       59s  x->sp +0.003 (pred +0.006)  sp->act +0.990  act->pose +0.016  x->pose +1.008
2-8   0.05-0.15 mid      28s  x->sp +0.018 (pred +0.003)  sp->act +1.110  act->pose +0.156  x->pose +1.229
2-8   0.05-0.15 all     107s  x->sp +0.004 (pred +0.003)  sp->act +0.562  act->pose +0.072  x->pose +0.632
8-15  0.05-0.15 lo       77s  x->sp +0.011 (pred +0.005)  sp->act +0.371  act->pose +0.165  x->pose +0.545
8-15  0.05-0.15 mid      97s  x->sp +0.007 (pred +0.003)  sp->act +0.454  act->pose +0.152  x->pose +0.619
8-15  0.05-0.15 hi       86s  x->sp +0.004 (pred +0.002)  sp->act +0.268  act->pose +0.121  x->pose +0.393
8-15  0.05-0.15 all     260s  x->sp +0.004 (pred +0.002)  sp->act +0.282  act->pose +0.123  x->pose +0.410
15-22 0.05-0.15 lo      171s  x->sp +0.003 (pred +0.004)  sp->act +0.371  act->pose +0.212  x->pose +0.617
15-22 0.05-0.15 mid     145s  x->sp +0.003 (pred +0.003)  sp->act +0.356  act->pose +0.144  x->pose +0.508
15-22 0.05-0.15 hi      182s  x->sp +0.005 (pred +0.003)  sp->act +0.216  act->pose +0.133  x->pose +0.355
15-22 0.05-0.15 all     497s  x->sp +0.005 (pred +0.003)  sp->act +0.227  act->pose +0.135  x->pose +0.368
>22   0.05-0.15 lo      519s  x->sp +0.004 (pred +0.004)  sp->act +0.203  act->pose +0.242  x->pose +0.526
>22   0.05-0.15 mid     614s  x->sp +0.003 (pred +0.003)  sp->act +0.207  act->pose +0.173  x->pose +0.389
>22   0.05-0.15 hi      643s  x->sp +0.005 (pred +0.003)  sp->act +0.099  act->pose +0.141  x->pose +0.245
>22   0.05-0.15 all    1777s  x->sp +0.005 (pred +0.003)  sp->act +0.108  act->pose +0.144  x->pose +0.258
2-8   0.15-0.3  lo      169s  x->sp +0.012 (pred +0.014)  sp->act +0.332  act->pose +0.074  x->pose +0.461
2-8   0.15-0.3  mid      46s  x->sp +0.008 (pred +0.015)  sp->act +0.318  act->pose +0.087  x->pose +0.418
2-8   0.15-0.3  hi       27s  x->sp -0.004 (pred +0.017)  sp->act +0.360  act->pose +0.082  x->pose +0.436
2-8   0.15-0.3  all     242s  x->sp -0.003 (pred +0.017)  sp->act +0.358  act->pose +0.082  x->pose +0.437
8-15  0.15-0.3  lo      360s  x->sp +0.014 (pred +0.017)  sp->act +0.231  act->pose +0.094  x->pose +0.359
8-15  0.15-0.3  mid     147s  x->sp +0.010 (pred +0.016)  sp->act +0.231  act->pose +0.104  x->pose +0.351
8-15  0.15-0.3  hi       85s  x->sp +0.008 (pred +0.016)  sp->act +0.229  act->pose +0.086  x->pose +0.325
8-15  0.15-0.3  all     592s  x->sp +0.009 (pred +0.016)  sp->act +0.230  act->pose +0.090  x->pose +0.332
15-22 0.15-0.3  lo      366s  x->sp +0.016 (pred +0.015)  sp->act +0.241  act->pose +0.130  x->pose +0.440
15-22 0.15-0.3  mid     175s  x->sp +0.016 (pred +0.015)  sp->act +0.181  act->pose +0.146  x->pose +0.351
15-22 0.15-0.3  hi       95s  x->sp +0.015 (pred +0.016)  sp->act +0.137  act->pose +0.110  x->pose +0.267
15-22 0.15-0.3  all     636s  x->sp +0.016 (pred +0.016)  sp->act +0.155  act->pose +0.120  x->pose +0.299
>22   0.15-0.3  lo      924s  x->sp +0.017 (pred +0.016)  sp->act +0.156  act->pose +0.220  x->pose +0.445
>22   0.15-0.3  mid     636s  x->sp +0.016 (pred +0.015)  sp->act +0.111  act->pose +0.168  x->pose +0.306
>22   0.15-0.3  hi      317s  x->sp +0.018 (pred +0.016)  sp->act +0.066  act->pose +0.130  x->pose +0.217
>22   0.15-0.3  all    1877s  x->sp +0.017 (pred +0.016)  sp->act +0.083  act->pose +0.144  x->pose +0.253
2-8   0.3-0.6   lo      219s  x->sp +0.052 (pred +0.048)  sp->act +0.179  act->pose +0.049  x->pose +0.322
2-8   0.3-0.6   mid      80s  x->sp +0.047 (pred +0.049)  sp->act +0.153  act->pose +0.086  x->pose +0.298
2-8   0.3-0.6   hi       38s  x->sp +0.026 (pred +0.049)  sp->act +0.253  act->pose +0.054  x->pose +0.321
2-8   0.3-0.6   all     337s  x->sp +0.029 (pred +0.049)  sp->act +0.245  act->pose +0.056  x->pose +0.320
8-15  0.3-0.6   lo      326s  x->sp +0.047 (pred +0.048)  sp->act +0.180  act->pose +0.063  x->pose +0.338
8-15  0.3-0.6   mid     210s  x->sp +0.046 (pred +0.048)  sp->act +0.155  act->pose +0.090  x->pose +0.303
8-15  0.3-0.6   hi      147s  x->sp +0.048 (pred +0.048)  sp->act +0.139  act->pose +0.077  x->pose +0.267
8-15  0.3-0.6   all     684s  x->sp +0.047 (pred +0.048)  sp->act +0.142  act->pose +0.079  x->pose +0.274
15-22 0.3-0.6   lo      391s  x->sp +0.051 (pred +0.048)  sp->act +0.157  act->pose +0.083  x->pose +0.397
15-22 0.3-0.6   mid     192s  x->sp +0.051 (pred +0.048)  sp->act +0.150  act->pose +0.121  x->pose +0.346
15-22 0.3-0.6   hi       82s  x->sp +0.053 (pred +0.048)  sp->act +0.110  act->pose +0.104  x->pose +0.276
15-22 0.3-0.6   all     665s  x->sp +0.053 (pred +0.048)  sp->act +0.125  act->pose +0.106  x->pose +0.306
>22   0.3-0.6   lo     1061s  x->sp +0.054 (pred +0.050)  sp->act +0.126  act->pose +0.181  x->pose +0.426
>22   0.3-0.6   mid     576s  x->sp +0.053 (pred +0.049)  sp->act +0.110  act->pose +0.191  x->pose +0.381
>22   0.3-0.6   hi      265s  x->sp +0.053 (pred +0.048)  sp->act +0.080  act->pose +0.166  x->pose +0.310
>22   0.3-0.6   all    1903s  x->sp +0.053 (pred +0.049)  sp->act +0.094  act->pose +0.176  x->pose +0.346
2-8   0.6-1.2   lo      194s  x->sp +0.127 (pred +0.124)  sp->act +0.123  act->pose +0.065  x->pose +0.337
2-8   0.6-1.2   mid     143s  x->sp +0.123 (pred +0.121)  sp->act +0.132  act->pose +0.081  x->pose +0.346
2-8   0.6-1.2   hi       54s  x->sp +0.113 (pred +0.108)  sp->act +0.113  act->pose +0.079  x->pose +0.313
2-8   0.6-1.2   all     391s  x->sp +0.115 (pred +0.111)  sp->act +0.117  act->pose +0.079  x->pose +0.323
8-15  0.6-1.2   lo      257s  x->sp +0.120 (pred +0.119)  sp->act +0.125  act->pose +0.056  x->pose +0.361
8-15  0.6-1.2   mid     252s  x->sp +0.119 (pred +0.116)  sp->act +0.110  act->pose +0.078  x->pose +0.333
8-15  0.6-1.2   hi      211s  x->sp +0.112 (pred +0.112)  sp->act +0.112  act->pose +0.094  x->pose +0.327
8-15  0.6-1.2   all     721s  x->sp +0.113 (pred +0.113)  sp->act +0.112  act->pose +0.089  x->pose +0.329
15-22 0.6-1.2   lo      271s  x->sp +0.120 (pred +0.120)  sp->act +0.124  act->pose +0.025  x->pose +0.333
15-22 0.6-1.2   mid     227s  x->sp +0.120 (pred +0.117)  sp->act +0.115  act->pose +0.071  x->pose +0.328
15-22 0.6-1.2   hi      181s  x->sp +0.117 (pred +0.115)  sp->act +0.111  act->pose +0.074  x->pose +0.308
15-22 0.6-1.2   all     679s  x->sp +0.118 (pred +0.116)  sp->act +0.113  act->pose +0.070  x->pose +0.313
>22   0.6-1.2   lo      617s  x->sp +0.118 (pred +0.117)  sp->act +0.091  act->pose +0.053  x->pose +0.304
>22   0.6-1.2   mid     599s  x->sp +0.118 (pred +0.116)  sp->act +0.093  act->pose +0.075  x->pose +0.300
>22   0.6-1.2   hi      700s  x->sp +0.116 (pred +0.115)  sp->act +0.083  act->pose +0.085  x->pose +0.291
>22   0.6-1.2   all    1916s  x->sp +0.117 (pred +0.115)  sp->act +0.085  act->pose +0.082  x->pose +0.293
