# EVENTS (matched high-desired-jerk, s2 matcher): median paired gap vs V282, s  [route-2-sided 95% CI]
group    speed   pairs |              shaping |        loop+plant+RT |              vehicle |         TOTAL logged |   lead |         TOTAL common
T64   8-15  0.3-0.6  hi    |  +0.086[+0.07,+0.10](+0.088) |  +0.027[-0.02,+0.07] |  +0.022[+0.01,+0.04] |  +0.138[+0.09,+0.18] |  +0.040[-0.00,+0.08]
T64   8-15  0.3-0.6  all   |  +0.086[+0.08,+0.10](+0.088) |  +0.043[+0.01,+0.09] |  +0.018[+0.00,+0.03] |  +0.151[+0.11,+0.20] |  +0.049[+0.01,+0.10]
T64   15-22 0.3-0.6  lo    |  +0.082[+0.08,+0.09](+0.087) |  +0.238[+0.16,+0.33] |  -0.024[-0.13,+0.05] |  +0.201[+0.11,+0.30] |  +0.106[+0.02,+0.21]
T64   15-22 0.3-0.6  mid   |  +0.088[+0.08,+0.09](+0.088) |  +0.242[+0.20,+0.28] |  -0.015[-0.04,+0.01] |  +0.298[+0.26,+0.35] |  +0.196[+0.15,+0.25]
T64   15-22 0.3-0.6  hi    |  +0.087[+0.08,+0.09](+0.089) |  +0.148[+0.09,+0.20] |  -0.000[-0.02,+0.01] |  +0.238[+0.17,+0.29] |  +0.132[+0.06,+0.19]
T64   15-22 0.3-0.6  all   |  +0.087[+0.08,+0.09](+0.089) |  +0.165[+0.12,+0.22] |  -0.004[-0.03,+0.01] |  +0.239[+0.18,+0.29] |  +0.134[+0.07,+0.19]
T64   >22   0.3-0.6  lo    |  +0.073[+0.05,+0.08](+0.083) |  +0.211[+0.07,+0.34] |  -0.079[-0.12,-0.02] |  +0.209[+0.09,+0.38] |  +0.084[-0.05,+0.27]
T64   >22   0.3-0.6  mid   |  +0.085[+0.08,+0.09](+0.088) |  +0.205[+0.15,+0.25] |  -0.091[-0.11,-0.03] |  +0.191[+0.15,+0.27] |  +0.087[+0.05,+0.16]
T64   >22   0.3-0.6  hi    |  +0.086[+0.08,+0.09](+0.089) |  +0.171[+0.12,+0.21] |  -0.044[-0.07,+0.01] |  +0.207[+0.15,+0.27] |  +0.106[+0.05,+0.17]
T64   >22   0.3-0.6  all   |  +0.086[+0.08,+0.09](+0.089) |  +0.167[+0.12,+0.20] |  -0.058[-0.08,-0.00] |  +0.180[+0.13,+0.25] |  +0.078[+0.03,+0.14]
T64   8-15  0.6-1.2  lo    |  +0.043[+0.04,+0.05](+0.049) |  +0.071[-0.00,+0.13] |  -0.005[-0.05,+0.03] |  +0.057[+0.00,+0.13] |  -0.033[-0.08,+0.03]
T64   8-15  0.6-1.2  mid   |  +0.046[+0.04,+0.05](+0.052) |  +0.048[+0.02,+0.08] |  -0.004[-0.03,+0.05] |  +0.068[+0.03,+0.14] |  -0.030[-0.07,+0.04]
T64   8-15  0.6-1.2  hi    |  +0.048[+0.03,+0.07](+0.055) |  -0.023[-0.07,+0.03] |  -0.011[-0.03,+0.00] |  +0.015[-0.06,+0.07] |  -0.086[-0.15,-0.03]
